Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
4,1969-07-02,1969,7,2,214.0,Charleville-Mézières,Nancy,Plain stage,Rik Van Looy,BEL
5,1969-07-03,1969,7,3,194.0,Nancy,Mulhouse,Stage with mountain(s),Joaquim Agostinho,POR
6,1969-07-04,1969,7,4,133.0,Mulhouse,Ballon d’Alsace,Stage with mountain(s),Eddy Merckx,BEL
7,1969-07-05,1969,7,5,241.0,Belfort,Divonne-les-Bains,Stage with mountain(s),Mariano Diaz,ESP
8a,1969-07-06,1969,7,6,9.0,Divonne-les-Bains,Divonne-les-Bains,Individual time trial,Eddy Merckx,BEL
8b,1969-07-06,1969,7,6,137.0,Divonne-les-Bains,Thonon-les-Bains,Stage with mountain(s),Michele Dancelli,ITA
9,1969-07-07,1969,7,7,111.0,Thonon-les-Bains,Chamonix,Stage with mountain(s),Roger Pingeon,FRA
10,1969-07-08,1969,7,8,221.0,Chamonix,Briançon,Stage with mountain(s),Herman Van Springel,BEL
11,1969-07-09,1969,7,9,198.0,Briançon,Digne,Stage with mountain(s),Eddy Merckx,BEL
12,1969-07-10,1969,7,10,161.0,Digne,Aubagne,Stage with mountain(s),Felice Gimondi,ITA
13,1969-07-11,1969,7,11,196.0,Aubagne,La Grande-Motte,Plain stage,Guido Reybrouck,BEL
14,1969-07-12,1969,7,12,234.0,La Grande-Motte,Revel,Plain stage,Joaquim Agostinho,POR
15,1969-07-13,1969,7,13,19.0,Revel,Revel,Individual time trial,Eddy Merckx,BEL
16,1969-07-14,1969,7,14,199.0,Castelnaudary,Luchon,Stage with mountain(s),Raymond Delisle,FRA
17,1969-07-15,1969,7,15,214.0,Luchon,Mourenx,Stage with mountain(s),Eddy Merckx,BEL
18,1969-07-16,1969,7,16,201.0,Mourenx,Bordeaux,Plain stage,Barry Hoban,GBR
19,1969-07-17,1969,7,17,193.0,Bordeaux,Brive,Plain stage,Barry Hoban,GBR
20,1969-07-18,1969,7,18,198.0,Brive,Puy de Dôme,Stage with mountain(s),Pierre Matignon,FRA
21,1969-07-19,1969,7,19,329.0,Clermont-Ferrand,Montargis,Plain stage,Herman Van Springel,BEL
22a,1969-07-20,1969,7,20,111.0,Montargis,Créteil,Plain stage,Jozef Spruyt,BEL
22b,1969-07-20,1969,7,20,37.0,Créteil,Paris,Individual time trial,Eddy Merckx,BEL
1a,1968-06-27,1968,6,27,6.1,Vittel,Vittel,Individual time trial,Charly Grosskost,FRA
1b,1968-06-28,1968,6,28,189.0,Vittel,Esch-sur-Alzette,Plain stage,Charly Grosskost,FRA
2,1968-06-29,1968,6,29,210.5,Arlon,Forest,Plain stage,Eric de Vlaeminck,BEL
3a,1968-06-30,1968,6,30,22.0,Forest,Forest,Team time trial,Belgium A,
3b,1968-06-30,1968,6,30,112.0,Forest,Roubaix,Plain stage,Walter Godefroot,BEL
4,1968-07-01,1968,7,1,238.0,Roubaix,Rouen,Plain stage,Georges Chappe,FRA
5a,1968-07-02,1968,7,2,165.0,Rouen,Bagnoles-de-l'Orne,Plain stage,André Desvages,FRA
5b,1968-07-02,1968,7,2,154.5,Bagnoles-de-l'Orne,Dinard,Plain stage,Jean Dumont,FRA
6,1968-07-03,1968,7,3,188.0,Dinard,Lorient,Plain stage,Aurelio González Puente,ESP
7,1968-07-04,1968,7,4,190.0,Lorient,Nantes,Plain stage,Franco Bitossi,ITA
8,1968-07-05,1968,7,5,223.0,Nantes,Royan,Plain stage,Daniel van Ryckeghem,BEL
9,1968-07-07,1968,7,7,137.5,Royan,Bordeaux,Plain stage,Walter Godefroot,BEL
10,1968-07-08,1968,7,8,202.5,Bordeaux,Bayonne,Plain stage,Gilbert Bellone,FRA
11,1968-07-09,1968,7,9,183.5,Bayonne,Pau,Plain stage,Daniel van Ryckeghem,BEL
12,1968-07-10,1968,7,10,226.5,Pau,Saint-Gaudens,Stage with mountain(s),Georges Pintens,BEL
13,1968-07-11,1968,7,11,208.5,Saint-Gaudens,La Seu d'Urgell,Stage with mountain(s),Herman Van Springel,BEL
14,1968-07-12,1968,7,12,231.5,La Seu d'Urgell,Perpignan,Stage with mountain(s),Jan Janssen,NED
15,1968-07-14,1968,7,14,250.5,Font-Romeu-Odeillo-Via,Albi,Plain stage,Roger Pingeon,FRA
16,1968-07-15,1968,7,15,199.0,Albi,Aurillac,Plain stage,Franco Bitossi,ITA
17,1968-07-16,1968,7,16,236.5,Aurillac,Saint-Étienne,Stage with mountain(s),Jean-Pierre Genet,FRA
18,1968-07-17,1968,7,17,235.0,Saint-Étienne,Grenoble,Stage with mountain(s),Roger Pingeon,FRA
19,1968-07-18,1968,7,18,200.0,Grenoble,Sallanches,Stage with mountain(s),Barry Hoban,GBR
20,1968-07-19,1968,7,19,242.5,Sallanches,Besançon,Stage with mountain(s),Jozef Huysmans,BEL
21,1968-07-20,1968,7,20,242.0,Besançon,Auxerre,Plain stage,Eric Leman,BEL
22a,1968-07-21,1968,7,21,136.0,Auxerre,Melun,Plain stage,Maurice Izier,FRA
22b,1968-07-21,1968,7,21,55.2,Melun,Paris,Individual time trial,Jan Janssen,NED
1a,1967-06-29,1967,6,29,5.775,Angers,Angers,Individual time trial,José-Maria Errandonea,ESP
1b,1967-06-30,1967,6,30,185.5,Angers,Saint-Malo,Plain stage,Walter Godefroot,BEL
2,1967-07-01,1967,7,1,180.0,Saint-Malo,Caen,Plain stage,Willy Van Neste,BEL
3,1967-07-02,1967,7,2,248.0,Caen,Amiens,Plain stage,Marino Basso,ITA
4,1967-07-03,1967,7,3,191.0,Amiens,Roubaix,Plain stage,Guido Reybrouck,BEL
5a,1967-07-04,1967,7,4,172.0,Roubaix,Jambes,Plain stage,Roger Pingeon,FRA
5b,1967-07-04,1967,7,4,17.0,Jambes,Jambes,Team time trial,Belgium,
6,1967-07-05,1967,7,5,238.0,Jambes,Metz,Plain stage,Herman Van Springel,BEL
7,1967-07-06,1967,7,6,205.5,Metz,Strasbourg,Stage with mountain(s),Michael Wright,GBR
8,1967-07-07,1967,7,7,215.0,Strasbourg,Belfort/Ballon d’Alsace,Stage with mountain(s),Lucien Aimar,FRA
9,1967-07-09,1967,7,9,238.5,Belfort,Divonne-les-Bains,Stage with mountain(s),Guido Reybrouck,BEL
10,1967-07-10,1967,7,10,243.0,Divonne-les-Bains,Briançon,Stage with mountain(s),Felice Gimondi,ITA
11,1967-07-11,1967,7,11,197.0,Briançon,Digne,Stage with mountain(s),José Samyn,FRA
12,1967-07-12,1967,7,12,207.5,Digne,Marseille,Plain stage,Raymond Riotte,FRA
13,1967-07-13,1967,7,13,211.5,Marseille,Carpentras,Stage with mountain(s),Jan Janssen,NED
14,1967-07-14,1967,7,14,201.5,Carpentras,Sète,Plain stage,Barry Hoban,GBR
15,1967-07-16,1967,7,16,230.5,Sète,Toulouse,Plain stage,Rolf Wolfshohl,FRG
16,1967-07-17,1967,7,17,188.0,Toulouse,Luchon,Stage with mountain(s),Fernando Manzaneque,ESP
17,1967-07-18,1967,7,18,250.0,Luchon,Pau,Stage with mountain(s),Raymond Mastrotto,FRA
18,1967-07-19,1967,7,19,206.5,Pau,Bordeaux,Plain stage,Marino Basso,ITA
19,1967-07-20,1967,7,20,217.0,Bordeaux,Limoges,Plain stage,Jean Stablinski,FRA
20,1967-07-21,1967,7,21,222.0,Limoges,Puy de Dôme,Stage with mountain(s),Felice Gimondi,ITA
21,1967-07-22,1967,7,22,359.0,Clermont-Ferrand,Fontainebleau,Plain stage,Paul Lemeteyer,FRA
22a,1967-07-23,1967,7,23,104.0,Fontainebleau,Versailles,Plain stage,René Binggeli,SUI
22b,1967-07-23,1967,7,23,46.6,Versailles,Paris,Individual time trial,Raymond Poulidor,FRA
1,1966-06-21,1966,6,21,209.0,Nancy,Charleville,Plain stage,Rudi Altig,FRG
2,1966-06-22,1966,6,22,198.0,Charleville,Tournai,Plain stage,Guido Reybrouck,BEL
3a,1966-06-23,1966,6,23,21.0,Tournai,Tournai,Team time trial,Televizier–Batavus,
3b,1966-06-23,1966,6,23,131.0,Tournai,Dunkirk,Plain stage,Gerben Karstens,NED
4,1966-06-24,1966,6,24,205.0,Dunkirk,Dieppe,Plain stage,Willy Planckaert,BEL
5,1966-06-25,1966,6,25,178.0,Dieppe,Caen,Plain stage,Franco Bitossi,ITA
6,1966-06-26,1966,6,26,217.0,Caen,Angers,Plain stage,Edward Sels,BEL
7,1966-06-27,1966,6,27,252.0,Angers,Royan,Plain stage,Albert Van Vlierberghe,BEL
8,1966-06-28,1966,6,28,138.0,Royan,Bordeaux,Plain stage,Willy Planckaert,BEL
9,1966-06-29,1966,6,29,201.0,Bordeaux,Bayonne,Plain stage,Gerben Karstens,NED
10,1966-06-30,1966,6,30,234.0,Bayonne,Pau,Stage with mountain(s),Tommaso de Pra,ITA
11,1966-07-01,1966,7,1,188.0,Pau,Luchon,Stage with mountain(s),Guido Marcello Mugnaini,ITA
12,1966-07-03,1966,7,3,219.0,Luchon,Revel,Stage with mountain(s),Rudi Altig,FRG
13,1966-07-04,1966,7,4,191.0,Revel,Sète,Plain stage,Georges Vandenberghe,BEL
14a,1966-07-05,1966,7,5,144.0,Montpellier,Vals-les-Bains,Plain stage,Jo de Roo,NED
14b,1966-07-05,1966,7,5,20.0,Vals-les-Bains,Vals-les-Bains,Individual time trial,Raymond Poulidor,FRA
15,1966-07-06,1966,7,6,203.0,Privas,Le Bourg-d'Oisans,Stage with mountain(s),Luís Otano,ESP
16,1966-07-07,1966,7,7,148.0,Le Bourg-d'Oisans,Briançon,Stage with mountain(s),Julio Jiménez,ESP
17,1966-07-08,1966,7,8,160.0,Briançon,Turin,Stage with mountain(s),Franco Bitossi,ITA
18,1966-07-10,1966,7,10,188.0,Ivrea,Chamonix,Stage with mountain(s),Edy Schutz,LUX
19,1966-07-11,1966,7,11,265.0,Chamonix,Saint-Étienne,Stage with mountain(s),Ferdinand Bracke,BEL
20,1966-07-12,1966,7,12,223.0,Saint-Étienne,Montluçon,Plain stage,Henk Nijdam,NED
21,1966-07-13,1966,7,13,232.0,Montluçon,Orléans,Plain stage,Pierre Beuffeuil,FRA
22a,1966-07-14,1966,7,14,111.0,Orléans,Rambouillet,Plain stage,Edward Sels,BEL
22b,1966-07-14,1966,7,14,51.0,Rambouillet,Paris,Individual time trial,Rudi Altig,FRG
1a,1965-06-22,1965,6,22,149.0,Cologne,Liège,Plain stage,Rik Van Looy,BEL
1b,1965-06-22,1965,6,22,22.5,Liège,Liège,Team time trial,Ford France–Gitane,
2,1965-06-23,1965,6,23,200.5,Liège,Roubaix,Plain stage,Bernard Van De Kerkhove,BEL
3,1965-06-24,1965,6,24,240.0,Roubaix,Rouen,Plain stage,Felice Gimondi,ITA
4,1965-06-25,1965,6,25,227.0,Caen,Saint-Brieuc,Plain stage,Edgard Sorgeloos,BEL
5a,1965-06-26,1965,6,26,147.0,Saint-Brieuc,Châteaulin,Plain stage,Cees van Espen,NED
5b,1965-06-26,1965,6,26,26.7,Châteaulin,Châteaulin,Individual time trial,Raymond Poulidor,FRA
6,1965-06-27,1965,6,27,210.5,Quimper,La Baule,Plain stage,Guido Reybroeck,BEL
7,1965-06-28,1965,6,28,219.0,La Baule,La Rochelle,Plain stage,Edward Sels,BEL
8,1965-06-29,1965,6,29,197.5,La Rochelle,Bordeaux,Plain stage,Johan de Roo,NED
9,1965-06-30,1965,6,30,226.5,Dax,Bagnères-de-Bigorre,Stage with mountain(s),Julio Jiménez,ESP
10,1965-07-01,1965,7,1,222.5,Bagnères-de-Bigorre,Ax-les-Thermes,Stage with mountain(s),Guido Reybroeck,BEL
11,1965-07-02,1965,7,2,240.5,Ax-les-Thermes,Barcelona,Stage with mountain(s),José Perez-Frances,ESP
12,1965-07-04,1965,7,4,219.0,Barcelona,Perpignan,Plain stage,Jan Janssen,NED
13,1965-07-05,1965,7,5,164.0,Perpignan,Montpellier,Plain stage,Adriano Durante,ITA
14,1965-07-06,1965,7,6,173.0,Montpellier,Mont Ventoux,Stage with mountain(s),Raymond Poulidor,FRA
15,1965-07-07,1965,7,7,167.5,Carpentras,Gap,Stage with mountain(s),Giuseppe Fezzardi,ITA
16,1965-07-08,1965,7,8,177.0,Gap,Briançon,Stage with mountain(s),Joaquim Galera,ESP
17,1965-07-09,1965,7,9,193.5,Briançon,Aix-les-Bains,Stage with mountain(s),Julio Jiménez,ESP
18,1965-07-10,1965,7,10,26.9,Aix-les-Bains,Le Revard,Mountain time trial,Felice Gimondi,ITA
19,1965-07-11,1965,7,11,165.0,Aix-les-Bains,Lyon,Stage with mountain(s),Rik Van Looy,BEL
20,1965-07-12,1965,7,12,198.5,Lyon,Auxerre,Plain stage,Michael Wright,GBR
21,1965-07-13,1965,7,13,225.5,Auxerre,Versailles,Plain stage,Gerben Karstens,NED
22,1965-07-14,1965,7,14,37.8,Versailles,Paris,Individual time trial,Felice Gimondi,ITA
1,1964-06-22,1964,6,22,215.0,Rennes,Lisieux,Plain stage,Edward Sels,BEL
2,1964-06-23,1964,6,23,208.0,Lisieux,Amiens,Plain stage,André Darrigade,FRA
3a,1964-06-24,1964,6,24,197.0,Amiens,Forest,Plain stage,Bernard Vandekerkhove,BEL
3b,1964-06-24,1964,6,24,21.0,Forest,Forest,Team time trial,Kas–Kaskol,
4,1964-06-25,1964,6,25,292.0,Forest,Metz,Plain stage,Rudi Altig,GER
5,1964-06-26,1964,6,26,161.0,Lunéville,Freiburg,Plain stage,Willy Derboven,BEL
6,1964-06-27,1964,6,27,200.0,Freiburg,Besançon,Plain stage,Henk Nijdam,NED
7,1964-06-28,1964,6,28,195.0,Besançon,Thonon-les-Bains,Plain stage,Jan Janssen,NED
8,1964-06-29,1964,6,29,249.0,Thonon-les-Bains,Briançon,Stage with mountain(s),Federico Bahamontes,ESP
9,1964-06-30,1964,6,30,239.0,Briançon,Monaco,Stage with mountain(s),Jacques Anquetil,FRA
10a,1964-07-01,1964,7,1,187.0,Monaco,Hyères,Plain stage,Jan Janssen,NED
10b,1964-07-01,1964,7,1,21.0,Hyères,Toulon,Individual time trial,Jacques Anquetil,FRA
11,1964-07-02,1964,7,2,250.0,Toulon,Montpellier,Plain stage,Edward Sels,BEL
12,1964-07-03,1964,7,3,174.0,Montpellier,Perpignan,Plain stage,Jo de Roo,NED
13,1964-07-04,1964,7,4,170.0,Perpignan,Andorra,Stage with mountain(s),Julio Jiménez,ESP
14,1964-07-06,1964,7,6,186.0,Andorra,Toulouse,Stage with mountain(s),Edward Sels,BEL
15,1964-07-07,1964,7,7,203.0,Toulouse,Luchon,Stage with mountain(s),Raymond Poulidor,FRA
16,1964-07-08,1964,7,8,197.0,Luchon,Pau,Stage with mountain(s),Federico Bahamontes,ESP
17,1964-07-09,1964,7,9,43.0,Peyrehorade,Bayonne,Individual time trial,Jacques Anquetil,FRA
18,1964-07-10,1964,7,10,187.0,Bayonne,Bordeaux,Plain stage,André Darrigade,FRA
19,1964-07-11,1964,7,11,215.0,Bordeaux,Brive,Plain stage,Edward Sels,BEL
20,1964-07-12,1964,7,12,217.0,Brive,Puy de Dôme,Stage with mountain(s),Julio Jiménez,ESP
21,1964-07-13,1964,7,13,311.0,Clermont-Ferrand,Orléans,Plain stage,Jean Stablinski,FRA
22a,1964-07-14,1964,7,14,119.0,Orléans,Versailles,Plain stage,Benoni Beheyt,BEL
22b,1964-07-14,1964,7,14,27.0,Versailles,Paris,Individual time trial,Jacques Anquetil,FRA
1,1963-06-23,1963,6,23,152.0,Paris,Épernay,Plain stage,Eddy Pauwels,BEL
2a,1963-06-24,1963,6,24,186.0,Reims,Jambes,Plain stage,Rik Van Looy,BEL
2b,1963-06-24,1963,6,24,22.0,Jambes,Jambes,Team time trial,Pelforth–Sauvage–Lejeune,
3,1963-06-25,1963,6,25,223.0,Jambes,Roubaix,Plain stage,Seamus Elliott,IRL
4,1963-06-26,1963,6,26,236.0,Roubaix,Rouen,Plain stage,Frans Melckenbeeck,BEL
5,1963-06-27,1963,6,27,285.0,Rouen,Rennes,Plain stage,Antonio Bailetti,ITA
6a,1963-06-28,1963,6,28,118.0,Rennes,Angers,Plain stage,Roger de Breuker,BEL
6b,1963-06-28,1963,6,28,25.0,Angers,Angers,Individual time trial,Jacques Anquetil,FRA
7,1963-06-29,1963,6,29,236.0,Angers,Limoges,Plain stage,Jan Janssen,NED
8,1963-06-30,1963,6,30,232.0,Limoges,Bordeaux,Plain stage,Rik Van Looy,BEL
9,1963-07-01,1963,7,1,202.0,Bordeaux,Pau,Plain stage,Pino Cerami,BEL
10,1963-07-02,1963,7,2,148.0,Pau,Bagnères-de-Bigorre,Stage with mountain(s),Jacques Anquetil,FRA
11,1963-07-03,1963,7,3,131.0,Bagnères-de-Bigorre,Luchon,Stage with mountain(s),Guy Ignolin,FRA
12,1963-07-04,1963,7,4,173.0,Luchon,Toulouse,Stage with mountain(s),André Darrigade,FRA
13,1963-07-05,1963,7,5,234.0,Toulouse,Aurillac,Plain stage,Rik Van Looy,BEL
14,1963-07-07,1963,7,7,237.0,Aurillac,Saint-Étienne,Plain stage,Guy Ignolin,FRA
15,1963-07-08,1963,7,8,174.0,Saint-Étienne,Grenoble,Stage with mountain(s),Federico Bahamontes,ESP
16,1963-07-09,1963,7,9,202.0,Grenoble,Val d'Isère,Stage with mountain(s),Fernando Manzaneque,ESP
17,1963-07-10,1963,7,10,228.0,Val d'Isère,Chamonix,Stage with mountain(s),Jacques Anquetil,FRA
18,1963-07-11,1963,7,11,225.0,Chamonix,Lons-le-Saunier,Stage with mountain(s),Frans Brands,BEL
19,1963-07-12,1963,7,12,54.0,Arbois,Besançon,Individual time trial,Jacques Anquetil,FRA
20,1963-07-13,1963,7,13,234.0,Besançon,Troyes,Plain stage,Roger de Breuker,BEL
21,1963-07-14,1963,7,14,185.0,Troyes,Paris,Plain stage,Rik Van Looy,BEL
1,1962-06-24,1962,6,24,253.0,Nancy,Spa,Plain stage,Rudi Altig,FRG
2a,1962-06-25,1962,6,25,147.0,Spa,Herentals,Plain stage,André Darrigade,FRA
2b,1962-06-25,1962,6,25,23.0,Herentals,Herentals,Team time trial,Faema–Flandria–Clement,
3,1962-06-26,1962,6,26,210.0,Brussels,Amiens,Plain stage,Rudi Altig,FRG
4,1962-06-27,1962,6,27,196.5,Amiens,Le Havre,Plain stage,Willy Vanden Berghen,BEL
5,1962-06-28,1962,6,28,215.0,Pont l'Evêque,Saint-Malo,Plain stage,Emile Daems,BEL
6,1962-06-29,1962,6,29,235.5,Dinard,Brest,Plain stage,Robert Cazala,FRA
7,1962-06-30,1962,6,30,201.0,Quimper,Saint-Nazaire,Plain stage,Huub Zilverberg,NED
8a,1962-07-01,1962,7,1,155.0,Saint-Nazaire,Luçon,Plain stage,Mario Minieri,ITA
8b,1962-07-01,1962,7,1,43.0,Luçon,La Rochelle,Individual time trial,Jacques Anquetil,FRA
9,1962-07-02,1962,7,2,214.0,La Rochelle,Bordeaux,Plain stage,Antonio Bailetti,ITA
10,1962-07-03,1962,7,3,184.5,Bordeaux,Bayonne,Plain stage,Willy Vannitsen,BEL
11,1962-07-04,1962,7,4,155.5,Bayonne,Pau,Plain stage,Eddy Pauwels,BEL
12,1962-07-05,1962,7,5,207.5,Pau,Saint-Gaudens,Stage with mountain(s),Robert Cazala,FRA
13,1962-07-06,1962,7,6,18.5,Luchon,Superbagnères,Mountain time trial,Federico Bahamontes,ESP
14,1962-07-07,1962,7,7,215.0,Luchon,Carcassonne,Stage with mountain(s),Jean Stablinski,FRA
15,1962-07-08,1962,7,8,196.5,Carcassonne,Montpellier,Plain stage,Willy Vannitsen,BEL
16,1962-07-09,1962,7,9,185.0,Montpellier,Aix-en-Provence,Plain stage,Emile Daems,BEL
17,1962-07-10,1962,7,10,201.0,Aix-en-Provence,Antibes,Plain stage,Rudi Altig,FRG
18,1962-07-11,1962,7,11,241.5,Antibes,Briançon,Stage with mountain(s),Emile Daems,BEL
19,1962-07-12,1962,7,12,204.5,Briançon,Aix-les-Bains,Stage with mountain(s),Raymond Poulidor,FRA
20,1962-07-13,1962,7,13,68.0,Bourgoin,Lyon,Individual time trial,Jacques Anquetil,FRA
21,1962-07-14,1962,7,14,232.0,Lyon,Nevers,Plain stage,Dino Bruni,ITA
22,1962-07-15,1962,7,15,271.0,Nevers,Paris,Plain stage,Rino Benedetti,ITA
1a,1961-06-25,1961,6,25,136.5,Rouen,Versailles,Plain stage,André Darrigade,FRA
1b,1961-06-25,1961,6,25,28.5,Versailles,Versailles,Individual time trial,Jacques Anquetil,FRA
2,1961-06-26,1961,6,26,230.5,Pontoise,Roubaix,Plain stage,André Darrigade,FRA
3,1961-06-27,1961,6,27,197.5,Roubaix,Charleroi,Plain stage,Emile Daems,BEL
4,1961-06-28,1961,6,28,237.5,Charleroi,Metz,Plain stage,Anatole Novak,FRA
5,1961-06-29,1961,6,29,221.0,Metz,Strasbourg,Stage with mountain(s),Louis Bergaud,FRA
6,1961-06-30,1961,6,30,180.5,Strasbourg,Belfort,Stage with mountain(s),Jozef Planckaert,BEL
7,1961-07-01,1961,7,1,214.5,Belfort,Chalon-sur-Saône,Plain stage,Jean Stablinski,FRA
8,1961-07-02,1961,7,2,240.5,Chalon-sur-Saône,Saint-Étienne,Stage with mountain(s),Jean Forestier,FRA
9,1961-07-03,1961,7,3,230.0,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX
10,1961-07-04,1961,7,4,250.5,Grenoble,Turin,Stage with mountain(s),Guy Ignolin,FRA
11,1961-07-05,1961,7,5,225.0,Turin,Antibes,Stage with mountain(s),Guido Carlesi,ITA
12,1961-07-06,1961,7,6,199.0,Antibes,Aix-en-Provence,Stage with mountain(s),Michel Van Aerde,BEL
13,1961-07-07,1961,7,7,177.5,Aix-en-Provence,Montpellier,Plain stage,André Darrigade,FRA
14,1961-07-09,1961,7,9,174.0,Montpellier,Perpignan,Plain stage,Eddy Pauwels,BEL
15,1961-07-10,1961,7,10,206.0,Perpignan,Toulouse,Plain stage,Guido Carlesi,ITA
16,1961-07-11,1961,7,11,208.0,Toulouse,Superbagnères,Stage with mountain(s),Imerio Massignan,ITA
17,1961-07-12,1961,7,12,197.0,Luchon,Pau,Stage with mountain(s),Eddy Pauwels,BEL
18,1961-07-13,1961,7,13,207.0,Pau,Bordeaux,Plain stage,Martin Van Geneugden,BEL
19,1961-07-14,1961,7,14,74.5,Bergerac,Périgueux,Individual time trial,Jacques Anquetil,FRA
20,1961-07-15,1961,7,15,309.5,Périgueux,Tours,Plain stage,André Darrigade,FRA
21,1961-07-16,1961,7,16,252.5,Tours,Paris,Plain stage,Robert Cazala,FRA
1a,1960-06-26,1960,6,26,108.0,Lille,Brussels,Plain stage,Julien Schepens,BEL
1b,1960-06-26,1960,6,26,27.8,Brussels,Brussels,Individual time trial,Roger Rivière,FRA
2,1960-06-27,1960,6,27,206.0,Brussels,Dunkirk,Plain stage,René Privat,FRA
3,1960-06-28,1960,6,28,209.0,Dunkirk,Dieppe,Plain stage,Nino Defilippis,ITA
4,1960-06-29,1960,6,29,211.0,Dieppe,Caen,Plain stage,Jean Graczyk,FRA
5,1960-06-30,1960,6,30,189.0,Caen,Saint-Malo,Plain stage,André Darrigade,FRA
6,1960-07-01,1960,7,1,191.0,Saint-Malo,Lorient,Plain stage,Roger Rivière,FRA
7,1960-07-02,1960,7,2,244.0,Lorient,Angers,Plain stage,Graziano Battistini,ITA
8,1960-07-03,1960,7,3,240.0,Angers,Limoges,Plain stage,Nino Defilippis,ITA
9,1960-07-04,1960,7,4,225.0,Limoges,Bordeaux,Plain stage,Martin van Geneugden,BEL
10,1960-07-05,1960,7,5,228.0,Mont-de-Marsan,Pau,Stage with mountain(s),Roger Rivière,FRA
11,1960-07-06,1960,7,6,161.0,Pau,Luchon,Stage with mountain(s),Kurt Gimmi,SUI
12,1960-07-07,1960,7,7,176.0,Luchon,Toulouse,Stage with mountain(s),Jean Graczyk,FRA
13,1960-07-08,1960,7,8,224.0,Toulouse,Millau,Plain stage,Louis Proost,FRA
14,1960-07-10,1960,7,10,217.0,Millau,Avignon,Stage with mountain(s),Martin van Geneugden,BEL
15,1960-07-11,1960,7,11,187.0,Avignon,Gap,Stage with mountain(s),Michel Van Aerde,BEL
16,1960-07-12,1960,7,12,172.0,Gap,Briançon,Stage with mountain(s),Graziano Battistini,ITA
17,1960-07-13,1960,7,13,229.0,Briançon,Aix-les-Bains,Stage with mountain(s),Jean Graczyk,FRA
18,1960-07-14,1960,7,14,215.0,Aix-les-Bains,Thonon-les-Bains,Stage with mountain(s),Fernando Manzaneque,ESP
19,1960-07-15,1960,7,15,83.0,Pontarlier,Besançon,Individual time trial,Rolf Graf,SUI
20,1960-07-16,1960,7,16,229.0,Besançon,Troyes,Plain stage,Pierre Beuffeuil,FRA
21,1960-07-17,1960,7,17,200.0,Troyes,Paris,Plain stage,Jean Graczyk,FRA
1,1959-06-25,1959,6,25,238.0,Mulhouse,Metz,Plain stage,André Darrigade,FRA
2,1959-06-26,1959,6,26,234.0,Metz,Namur,Plain stage,Vito Favero,ITA
3,1959-06-27,1959,6,27,217.0,Namur,Roubaix,Plain stage,Robert Cazala,FRA
4,1959-06-28,1959,6,28,230.0,Roubaix,Rouen,Plain stage,Dino Bruni,ITA
5,1959-06-29,1959,6,29,286.0,Rouen,Rennes,Plain stage,Jean Graczyk,FRA
6,1959-06-30,1959,6,30,45.0,Blain,Nantes,Individual time trial,Roger Rivière,FRA
7,1959-07-01,1959,7,1,190.0,Nantes,La Rochelle,Plain stage,Roger Hassenforder,FRA
8,1959-07-02,1959,7,2,201.0,La Rochelle,Bordeaux,Plain stage,Michel Dejouhannet,FRA
9,1959-07-03,1959,7,3,207.0,Bordeaux,Bayonne,Plain stage,Marcel Queheille,FRA
10,1959-07-05,1959,7,5,235.0,Bayonne,Bagnères-de-Bigorre,Stage with mountain(s),Marcel Janssens,BEL
11,1959-07-06,1959,7,6,119.0,Bagnères-de-Bigorre,Saint-Gaudens,Stage with mountain(s),André Darrigade,FRA
12,1959-07-07,1959,7,7,184.0,Saint-Gaudens,Albi,Plain stage,Rolf Graf,SUI
13,1959-07-08,1959,7,8,219.0,Albi,Aurillac,Stage with mountain(s),Henry Anglade,FRA
14,1959-07-09,1959,7,9,231.0,Aurillac,Clermont-Ferrand,Stage with mountain(s),André Le Dissez,FRA
15,1959-07-10,1959,7,10,12.0,Puy de Dôme,Puy de Dôme,Mountain time trial,Federico Bahamontes,ESP
16,1959-07-11,1959,7,11,210.0,Clermont-Ferrand,Saint-Étienne,Plain stage,Dino Bruni,ITA
17,1959-07-13,1959,7,13,197.0,Saint-Étienne,Grenoble,Stage with mountain(s),Charly Gaul,LUX
18,1959-07-14,1959,7,14,243.0,Grenoble,Saint-Vincent,Stage with mountain(s),Ercole Baldini,ITA
19,1959-07-15,1959,7,15,251.0,Saint-Vincent,Annecy,Stage with mountain(s),Rolf Graf,SUI
20,1959-07-16,1959,7,16,202.0,Annecy,Chalon-sur-Saône,Plain stage,Brian Robinson,GBR
21,1959-07-17,1959,7,17,69.0,Seurre,Dijon,Individual time trial,Roger Rivière,FRA
22,1959-07-18,1959,7,18,331.0,Dijon,Paris,Plain stage,Joseph Groussard,FRA
1,1958-06-26,1958,6,26,184.0,Brussels,Ghent,Plain stage,André Darrigade,FRA
2,1958-06-27,1958,6,27,198.0,Ghent,Dunkirk,Plain stage,Gerrit Voorting,NED
3,1958-06-28,1958,6,28,177.0,Dunkirk,Mers-les-Bains,Plain stage,Gilbert Bauvin,FRA
4,1958-06-29,1958,6,29,205.0,Le Tréport,Versailles,Plain stage,Jean Gainche,FRA
5,1958-06-30,1958,6,30,232.0,Versailles,Caen,Plain stage,Tino Sabbadini,FRA
